experiment,fairness,d_key,d_value,associations,seed,key_regime,coefficient_kind,coefficient_sum,coefficient_minimum,coefficient_maximum,method,state_bytes,budget_bytes,budget_fraction,estimated_flops_per_query,selected_temperature,absolute_error,relative_error,convex_hull_distance,error_minus_hull_distance,minimum_softmax_weight,softmax_weight_sum_error
linear_functional,same_dimension,16,16,16,1,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,softmax,4096,4096,1.0,1104,0.1,0.11032925186287619,0.38793930629564255,3.3993498887762956e-17,0.11032925186287616,0.023274225768025843,0.0
linear_functional,same_dimension,16,16,16,1,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,linear_attention,2176,4096,0.53125,576,nan,0.1412049101208101,0.4965041813742032,3.3993498887762956e-17,nan,nan,nan
linear_functional,same_dimension,16,16,16,1,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,least_squares,4096,4096,1.0,1024,nan,1.5497239821219397e-15,5.44913371950815e-15,3.3993498887762956e-17,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,1,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,csm,4096,4096,1.0,1024,nan,2.7755191936480347e-09,9.759270296986043e-09,3.3993498887762956e-17,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,1,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,hebbian,2048,4096,0.5,512,nan,0.2270205568398883,0.7982488401605015,3.3993498887762956e-17,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,1,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,softmax,4096,4096,1.0,1104,0.1,0.11032925186287619,0.38793930629564255,3.3993498887762956e-17,0.11032925186287616,0.023274225768025843,0.0
linear_functional,equal_state_budget,16,16,16,1,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,linear_attention,2176,4096,0.53125,576,nan,0.1412049101208101,0.4965041813742032,3.3993498887762956e-17,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,1,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,least_squares,4096,4096,1.0,1024,nan,1.5497239821219397e-15,5.44913371950815e-15,3.3993498887762956e-17,nan,nan,nan
linear_functional,same_dimension,16,16,16,1,random_gaussian,negative_coefficients,0.3999999910593033,-0.6000000238418579,0.800000011920929,csm,4096,4096,1.0,1024,nan,1.0548038772001121e-08,9.628997739548637e-09,0.6480740955929359,nan,nan,nan
linear_functional,same_dimension,16,16,16,1,random_gaussian,negative_coefficients,0.3999999910593033,-0.6000000238418579,0.800000011920929,hebbian,2048,4096,0.5,512,nan,1.0073147015323687,0.919548287006264,0.6480740955929359,nan,nan,nan
