experiment,fairness,d_key,d_value,associations,load,seed,key_regime,epsilon,method,retained_associations,state_bytes,budget_bytes,budget_fraction,estimated_flops_per_query,selected_temperature,relative_frobenius_error,median_relative_error,p90_relative_error,maximum_relative_error,exact_recall_rate
associative_recall,same_dimension,16,4,4,0.25,1,random_gaussian,0.0001,hebbian,4,512,2560,0.2,128,nan,0.4821668877190122,0.275743036641952,1.1617934363713713,1.3289989554203472,0.0
associative_recall,same_dimension,16,4,4,0.25,1,random_gaussian,0.0001,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,same_dimension,16,4,4,0.25,1,random_gaussian,0.0001,linear_attention,4,640,2560,0.25,180,nan,0.9227401542037729,0.9604682081937562,1.50402330062325,1.7167056203234041,0.0
associative_recall,same_dimension,16,4,4,0.25,1,random_gaussian,0.0001,least_squares,4,640,2560,0.25,160,nan,3.4549590625547493e-16,2.638036966681554e-16,9.055619319089404e-16,1.1307508878650372e-15,1.0
associative_recall,equal_state_budget,16,4,4,0.25,1,random_gaussian,0.0001,csm,4,2560,2560,1.0,640,nan,0.00014943994779832657,0.00014559469018253618,0.00019525367120727064,0.00020714164751007145,1.0
associative_recall,equal_state_budget,16,4,4,0.25,1,random_gaussian,0.0001,hebbian,4,512,2560,0.2,128,nan,0.4821668877190122,0.275743036641952,1.1617934363713713,1.3289989554203472,0.0
associative_recall,equal_state_budget,16,4,4,0.25,1,random_gaussian,0.0001,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,equal_state_budget,16,4,4,0.25,1,random_gaussian,0.0001,linear_attention,4,640,2560,0.25,180,nan,0.9227401542037729,0.9604682081937562,1.50402330062325,1.7167056203234041,0.0
associative_recall,equal_state_budget,16,4,4,0.25,1,random_gaussian,0.0001,least_squares,4,640,2560,0.25,160,nan,3.4549590625547493e-16,2.638036966681554e-16,9.055619319089404e-16,1.1307508878650372e-15,1.0
associative_recall,same_dimension,16,4,4,0.25,1,random_gaussian,0.01,csm,4,2560,2560,1.0,640,nan,0.014670726608982484,0.014295290818345133,0.019130252168784015,0.020296016115246587,0.0
associative_recall,same_dimension,16,4,4,0.25,1,random_gaussian,0.01,hebbian,4,512,2560,0.2,128,nan,0.4821668877190122,0.275743036641952,1.1617934363713713,1.3289989554203472,0.0
associative_recall,same_dimension,16,4,4,0.25,1,random_gaussian,0.01,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,same_dimension,16,4,4,0.25,1,random_gaussian,0.01,linear_attention,4,640,2560,0.25,180,nan,0.9227401542037729,0.9604682081937562,1.50402330062325,1.7167056203234041,0.0
associative_recall,same_dimension,16,4,4,0.25,1,random_gaussian,0.01,least_squares,4,640,2560,0.25,160,nan,3.4549590625547493e-16,2.638036966681554e-16,9.055619319089404e-16,1.1307508878650372e-15,1.0
associative_recall,equal_state_budget,16,4,4,0.25,1,random_gaussian,0.01,csm,4,2560,2560,1.0,640,nan,0.014670726608982484,0.014295290818345133,0.019130252168784015,0.020296016115246587,0.0
associative_recall,equal_state_budget,16,4,4,0.25,1,random_gaussian,0.01,hebbian,4,512,2560,0.2,128,nan,0.4821668877190122,0.275743036641952,1.1617934363713713,1.3289989554203472,0.0
associative_recall,equal_state_budget,16,4,4,0.25,1,random_gaussian,0.01,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,equal_state_budget,16,4,4,0.25,1,random_gaussian,0.01,linear_attention,4,640,2560,0.25,180,nan,0.9227401542037729,0.9604682081937562,1.50402330062325,1.7167056203234041,0.0
associative_recall,equal_state_budget,16,4,4,0.25,1,random_gaussian,0.01,least_squares,4,640,2560,0.25,160,nan,3.4549590625547493e-16,2.638036966681554e-16,9.055619319089404e-16,1.1307508878650372e-15,1.0
associative_recall,same_dimension,16,4,4,0.25,1,correlated,1e-08,csm,4,2560,2560,1.0,640,nan,1.0826510358068745e-07,8.940578209221995e-08,2.0699740649659525e-07,2.1539361048761934e-07,1.0
associative_recall,same_dimension,16,4,4,0.25,1,correlated,1e-08,hebbian,4,512,2560,0.2,128,nan,1.3736576522319166,1.9536445953477266,3.401476298118317,3.853897231917841,0.0
associative_recall,same_dimension,16,4,4,0.25,1,correlated,1e-08,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,same_dimension,16,4,4,0.25,1,correlated,1e-08,linear_attention,4,640,2560,0.25,180,nan,0.9118070333832893,0.8918946613865311,1.264364649663876,1.3115407165220765,0.0
associative_recall,same_dimension,16,4,4,0.25,1,correlated,1e-08,least_squares,4,640,2560,0.25,160,nan,3.9539796929193965e-16,4.775394350004089e-16,8.785216401481526e-16,9.522924984443027e-16,1.0
associative_recall,equal_state_budget,16,4,4,0.25,1,correlated,1e-08,csm,4,2560,2560,1.0,640,nan,1.0826510358068745e-07,8.940578209221995e-08,2.0699740649659525e-07,2.1539361048761934e-07,1.0
associative_recall,equal_state_budget,16,4,4,0.25,1,correlated,1e-08,hebbian,4,512,2560,0.2,128,nan,1.3736576522319166,1.9536445953477266,3.401476298118317,3.853897231917841,0.0
associative_recall,equal_state_budget,16,4,4,0.25,1,correlated,1e-08,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,equal_state_budget,16,4,4,0.25,1,correlated,1e-08,linear_attention,4,640,2560,0.25,180,nan,0.9118070333832893,0.8918946613865311,1.264364649663876,1.3115407165220765,0.0
associative_recall,equal_state_budget,16,4,4,0.25,1,correlated,1e-08,least_squares,4,640,2560,0.25,160,nan,3.9539796929193965e-16,4.775394350004089e-16,8.785216401481526e-16,9.522924984443027e-16,1.0
associative_recall,same_dimension,16,4,4,0.25,1,correlated,0.0001,csm,4,2560,2560,1.0,640,nan,0.0010809944574621511,0.0008928637357963932,0.002066042258780969,0.0021495727560054186,0.5
associative_recall,same_dimension,16,4,4,0.25,1,correlated,0.0001,hebbian,4,512,2560,0.2,128,nan,1.3736576522319166,1.9536445953477266,3.401476298118317,3.853897231917841,0.0
associative_recall,same_dimension,16,4,4,0.25,1,correlated,0.0001,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,same_dimension,16,4,4,0.25,1,correlated,0.0001,linear_attention,4,640,2560,0.25,180,nan,0.9118070333832893,0.8918946613865311,1.264364649663876,1.3115407165220765,0.0
associative_recall,same_dimension,16,4,4,0.25,1,correlated,0.0001,least_squares,4,640,2560,0.25,160,nan,3.9539796929193965e-16,4.775394350004089e-16,8.785216401481526e-16,9.522924984443027e-16,1.0
associative_recall,equal_state_budget,16,4,4,0.25,1,correlated,0.0001,csm,4,2560,2560,1.0,640,nan,0.0010809944574621511,0.0008928637357963932,0.002066042258780969,0.0021495727560054186,0.5
associative_recall,equal_state_budget,16,4,4,0.25,1,correlated,0.0001,hebbian,4,512,2560,0.2,128,nan,1.3736576522319166,1.9536445953477266,3.401476298118317,3.853897231917841,0.0
associative_recall,equal_state_budget,16,4,4,0.25,1,correlated,0.0001,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,equal_state_budget,16,4,4,0.25,1,correlated,0.0001,linear_attention,4,640,2560,0.25,180,nan,0.9118070333832893,0.8918946613865311,1.264364649663876,1.3115407165220765,0.0
associative_recall,equal_state_budget,16,4,4,0.25,1,correlated,0.0001,least_squares,4,640,2560,0.25,160,nan,3.9539796929193965e-16,4.775394350004089e-16,8.785216401481526e-16,9.522924984443027e-16,1.0
associative_recall,same_dimension,16,4,4,0.25,1,correlated,0.01,csm,4,2560,2560,1.0,640,nan,0.09411820649004644,0.07904152065399499,0.1737688320430251,0.17870403534849943,0.0
associative_recall,same_dimension,16,4,4,0.25,1,correlated,0.01,hebbian,4,512,2560,0.2,128,nan,1.3736576522319166,1.9536445953477266,3.401476298118317,3.853897231917841,0.0
