task,task_type,method,seed,beta,lambda,query_scale,shared_key_query,epsilon,orthogonality_regularizer,training_seconds,trainable_parameters,total_parameters,median_gradient_norm,final_gradient_norm,mse,normalized_mse,success_rate,mean_uncertainty,gram_eigenvalue_spectrum,minimum_gram_eigenvalue,maximum_gram_eigenvalue,mean_pairwise_cosine,mean_absolute_pairwise_cosine,maximum_absolute_pairwise_cosine,effective_rank,minimum_singular_value,system_condition_number,fraction_capacity_used,effective_capacity_fraction
associative_recall,discrete_retrieval,learned_attention,2,1.0,1.0,1.2026817798614502,True,0.1,0.0,0.5266471869999805,1078,1078,0.05099775310863598,0.005010240046738961,0.00012646775576286018,0.0010117421064074104,0.984375,nan,0.062030453;0.1729548;0.36066899;0.62614536;0.94413233;1.3576212;1.8625411;2.6139059,0.062030449509620667,2.613905906677246,0.004884687718003988,0.26516327261924744,0.8999997973442078,5.504268169403076,0.235295832157135,27.139057159423828,0.6666666666666666,0.6880335211753845
selective_copy,discrete_retrieval,learned_csm,0,1.0,1.0,1.4572700262069702,True,0.1,0.0,0.603220087000409,1078,1078,0.04997443383942254,0.0051533385888046694,0.00021066742192488164,0.001685339375399053,1.0,1.9303195476531982,0.91620684;0.97600514;0.98075259;0.99552685;1.0159737;1.0283397;1.0322517;1.0549437,0.9162068367004395,1.0549436807632446,-0.007563713937997818,0.011915605515241623,0.03535845875740051,7.993380546569824,0.957187294960022,11.54943561553955,0.6666666666666666,0.999172568321228
selective_copy,discrete_retrieval,fixed_random_csm,0,1.0,1.0,1.0,True,0.1,0.0,0.32770340999923064,72,1078,0.06553085898124994,0.027174732754924998,0.0710723027586937,0.5685784220695496,0.810546875,0.4392409920692444,0.0047100605;0.0055270488;0.031151135;0.045903258;0.08666236;0.11709531;0.43371588;7.2752337,0.004710060544312,7.275233745574951,0.8956452012062073,0.8956452012062073,0.9770293235778809,1.5156726837158203,0.06862923502922058,73.75234985351562,0.6666666666666666,0.18945908546447754
selective_copy,discrete_retrieval,learned_hebbian,0,1.0,1.0,1.3371152877807617,True,0.1,0.0,0.7973818619993835,1078,1078,0.03879351403309177,0.039392612842868366,0.09403138607740402,0.7522510886192322,0.6015625,nan,0.034933168;0.21438988;0.40006104;0.51003313;0.74968719;0.97626436;1.2517728;3.862859,0.034933168441057205,3.862859010696411,0.4070184826850891,0.4070184826850891,0.7726860046386719,4.7891411781311035,0.18690431118011475,39.62856674194336,0.6666666666666666,0.5986426472663879
selective_copy,discrete_retrieval,learned_attention,0,1.0,1.0,1.077201247215271,True,0.1,0.0,1.1414229860001797,1078,1078,0.04416366038010845,0.011651245682637193,0.002781713381409645,0.02225370705127716,1.0,nan,0.070825294;0.13629501;0.48072603;0.83057129;1.0850784;1.3641915;1.9746675;2.0576446,0.07082529366016388,2.0576446056365967,-0.12169049680233002,0.17921462655067444,0.7147138118743896,5.945015907287598,0.26613011956214905,21.576452255249023,0.6666666666666666,0.7431269884109497
selective_copy,discrete_retrieval,learned_csm,1,1.0,1.0,1.3889960050582886,True,0.1,0.0,1.382262899000125,1078,1078,0.0359873194941744,0.003203097111898145,0.00011519715189933777,0.0009215772151947021,1.0,1.7536741495132446,0.96556187;0.96862745;0.98096979;0.98373556;0.99169213;0.99585819;1.0064142;1.1071411,0.9655618667602539,1.107141137123108,0.014700958505272865,0.014700958505272865,0.027572287246584892,7.992981910705566,0.9826303720474243,12.071409225463867,0.6666666666666666,0.9991227388381958
selective_copy,discrete_retrieval,fixed_random_csm,1,1.0,1.0,1.0,True,0.1,0.0,0.7040838450002411,72,1078,0.04013249043479406,0.024588104914037408,0.06983193755149841,0.5586555004119873,0.8203125,0.46968042850494385,0.0048003537;0.021361513;0.031083301;0.052829962;0.091085479;0.23732261;0.35647976;7.2050366,0.004800353664904833,7.205036640167236,0.8859081864356995,0.8859081864356995,0.9647786617279053,1.5891296863555908,0.06928419321775436,73.05030059814453,0.6666666666666666,0.19864121079444885
selective_copy,discrete_retrieval,learned_hebbian,1,1.0,1.0,2.003368377685547,True,0.1,0.0,0.5302364760000273,1078,1078,0.04908436328755755,0.06680714994810255,0.04376843571662903,0.3501474857330322,1.0,nan,0.78057331;0.87641722;0.94521356;0.98086303;1.0310271;1.0841985;1.1361436;1.1655631,0.780573308467865,1.1655631065368652,-0.010970691218972206,0.037673041224479675,0.10486578941345215,7.938689708709717,0.8835009932518005,12.655634880065918,0.6666666666666666,0.9923362135887146
selective_copy,discrete_retrieval,learned_attention,1,1.0,1.0,1.077857494354248,True,0.1,0.0,0.5346361029996842,1078,1078,0.03609617694587611,0.0044630930341417,0.00026539203827269375,0.00212313630618155,1.0,nan,0.019243533;0.17852882;0.49114698;0.87586582;1.2065948;1.3204399;1.7769845;2.1311936,0.019243532791733742,2.1311936378479004,-0.125599667429924,0.18326851725578308,0.8050990700721741,5.9421491622924805,0.13872195780277252,22.31194496154785,0.6666666666666666,0.7427686452865601
selective_copy,discrete_retrieval,learned_csm,2,1.0,1.0,1.3987494707107544,True,0.1,0.0,0.8352225670005282,1078,1078,0.05249087854526588,0.0036449909988295164,9.182206849800423e-05,0.0007345765479840338,1.0,1.7785253524780273,0.9627251;0.97779053;0.98449641;0.99214083;1.0008017;1.0013276;1.0197488;1.0609684,0.9627251029014587,1.0609683990478516,0.007570907939225435,0.009384656324982643,0.020392481237649918,7.996880054473877,0.9811856150627136,11.609686851501465,0.6666666666666666,0.9996100068092346
