data_model,pattern,sigmas,seed,method,squared_error,weighted_to_analytic_error,gaussian_expected_weighted_risk,gaussian_expected_uniform_risk
linear_gaussian,2,0.2;0.2;1.5;1.5,10,uniform_csm,1.159131460181693,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,10,analytic_precision_mean,0.004257333853630479,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,11,precision_weighted_csm,0.06701956750467247,4.0953485741280675e-10,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,11,uniform_csm,0.7392095981599667,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,11,analytic_precision_mean,0.06701956750026665,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,12,precision_weighted_csm,0.009239121530448162,5.887233736652482e-10,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,12,uniform_csm,2.430428136515707,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,12,analytic_precision_mean,0.009239121471892282,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,13,precision_weighted_csm,0.1474486922646837,4.588892328332288e-10,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,13,uniform_csm,0.8584601164439651,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,13,analytic_precision_mean,0.1474486923243321,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,14,precision_weighted_csm,0.09410306536686477,4.951957030062067e-10,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,14,uniform_csm,2.3986015663978595,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,14,analytic_precision_mean,0.09410306519547207,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,15,precision_weighted_csm,0.011603975544500857,4.705260365754677e-10,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,15,uniform_csm,0.7083633063332588,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,15,analytic_precision_mean,0.011603975540967468,nan,0.07860262008733626,1.145
laplace,0,0.1;1.0,0,precision_weighted_csm,0.02901496216339363,2.1612163561542464e-10,nan,nan
laplace,0,0.1;1.0,0,uniform_csm,0.1060667257771204,nan,nan,nan
laplace,0,0.1;1.0,0,analytic_precision_mean,0.029014962175983896,nan,nan,nan
laplace,0,0.1;1.0,1,precision_weighted_csm,0.014039452206077241,1.2383861642695745e-10,nan,nan
laplace,0,0.1;1.0,1,uniform_csm,1.4422706019049003,nan,nan,nan
laplace,0,0.1;1.0,1,analytic_precision_mean,0.01403945218729686,nan,nan,nan
laplace,0,0.1;1.0,2,precision_weighted_csm,0.03528404753094707,1.7434051246507227e-10,nan,nan
laplace,0,0.1;1.0,2,uniform_csm,0.685717917761274,nan,nan,nan
laplace,0,0.1;1.0,2,analytic_precision_mean,0.03528404750318555,nan,nan,nan
laplace,0,0.1;1.0,3,precision_weighted_csm,0.02318646805340005,1.6841582775585655e-10,nan,nan
laplace,0,0.1;1.0,3,uniform_csm,0.5775266711654856,nan,nan,nan
laplace,0,0.1;1.0,3,analytic_precision_mean,0.023186468088860816,nan,nan,nan
laplace,0,0.1;1.0,4,precision_weighted_csm,0.07425451208124433,1.3397564198542111e-10,nan,nan
laplace,0,0.1;1.0,4,uniform_csm,0.1270981637608951,nan,nan,nan
laplace,0,0.1;1.0,4,analytic_precision_mean,0.07425451209673621,nan,nan,nan
laplace,0,0.1;1.0,5,precision_weighted_csm,0.03326896835349866,1.0233402895491512e-10,nan,nan
laplace,0,0.1;1.0,5,uniform_csm,0.8356010655055076,nan,nan,nan
laplace,0,0.1;1.0,5,analytic_precision_mean,0.033268968355339025,nan,nan,nan
laplace,0,0.1;1.0,6,precision_weighted_csm,0.0057676482835324755,2.751946218209582e-10,nan,nan
laplace,0,0.1;1.0,6,uniform_csm,1.7874348431849834,nan,nan,nan
laplace,0,0.1;1.0,6,analytic_precision_mean,0.005767648306080251,nan,nan,nan
laplace,0,0.1;1.0,7,precision_weighted_csm,0.029527827050564566,7.561557470284352e-11,nan,nan
laplace,0,0.1;1.0,7,uniform_csm,0.5831444248273779,nan,nan,nan
laplace,0,0.1;1.0,7,analytic_precision_mean,0.029527827033754613,nan,nan,nan
laplace,0,0.1;1.0,8,precision_weighted_csm,0.006713820927102758,1.7421686803176593e-10,nan,nan
laplace,0,0.1;1.0,8,uniform_csm,0.40534603690377075,nan,nan,nan
laplace,0,0.1;1.0,8,analytic_precision_mean,0.0067138209342213736,nan,nan,nan
laplace,0,0.1;1.0,9,precision_weighted_csm,0.013327120989490878,1.6432553545149997e-10,nan,nan
laplace,0,0.1;1.0,9,uniform_csm,0.7773229533392534,nan,nan,nan
laplace,0,0.1;1.0,9,analytic_precision_mean,0.013327121011417975,nan,nan,nan
laplace,0,0.1;1.0,10,precision_weighted_csm,0.08362727942129602,1.978142866890144e-10,nan,nan
laplace,0,0.1;1.0,10,uniform_csm,6.800505139676303,nan,nan,nan
laplace,0,0.1;1.0,10,analytic_precision_mean,0.08362727938480811,nan,nan,nan
