data_model,sigma,repeats,seed,method,mean_squared_error,p90_squared_error,selected_temperature,csm_oracle_relative_difference,gaussian_unregularized_expected_risk
linear_gaussian,0.1,4,3,simple_average,0.012643425598783602,0.02069477571342481,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,3,hebbian,1.663590787952237,2.479981410898116,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,3,softmax,0.012632944651787655,0.02068845573027094,0.1,nan,0.010000000000000002
linear_gaussian,0.1,4,3,oracle_ridge,0.012643425598063555,0.020694775712755964,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,4,csm,0.011421324887402811,0.019630207441286764,nan,3.250321228102197e-16,0.010000000000000002
linear_gaussian,0.1,4,4,simple_average,0.011421324887693037,0.019630207442055986,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,4,hebbian,2.0930273877827954,3.3137572243985516,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,4,softmax,0.011420556238959531,0.019628441631366695,0.1,nan,0.010000000000000002
linear_gaussian,0.1,4,4,oracle_ridge,0.01142132488740281,0.019630207441286754,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,5,csm,0.009385164025688383,0.016998851365041513,nan,3.2215354334477455e-16,0.010000000000000002
linear_gaussian,0.1,4,5,simple_average,0.009385164026215262,0.01699885136602363,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,5,hebbian,1.7969160205763357,3.1770837263960736,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,5,softmax,0.009378304795287146,0.016988290253813508,0.1,nan,0.010000000000000002
linear_gaussian,0.1,4,5,oracle_ridge,0.009385164025688383,0.016998851365041517,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,6,csm,0.006927191488095811,0.010442056528355661,nan,2.5414252151197904e-16,0.010000000000000002
linear_gaussian,0.1,4,6,simple_average,0.006927191488655135,0.010442056530534413,nan,nan,0.010000000000000002
