data_model,trial,query_index,distance_outside_observed_span,uncertainty,predicted_total_mse,actual_squared_error,normalized_squared_error,coordinate_95_coverage
linear_gaussian,0,70,0.5,0.3333333333333329,1.3333333333333317,1.460942117358584,1.0957065880189394,1.0
linear_gaussian,0,71,0.5,0.3333333333333331,1.3333333333333324,2.4928786258184927,1.869658969363871,0.75
linear_gaussian,0,72,0.75,0.6111111111111108,2.4444444444444433,0.6252610802880894,0.2557886237542185,1.0
linear_gaussian,0,73,0.75,0.6111111111111109,2.4444444444444438,2.463588866344458,1.0078318089590967,1.0
linear_gaussian,0,74,0.75,0.611111111111111,2.444444444444444,1.014191031851621,0.4148963312120268,1.0
linear_gaussian,0,75,0.75,0.611111111111111,2.444444444444444,0.6026016419499269,0.24651885352497013,1.0
linear_gaussian,0,76,0.75,0.6111111111111107,2.444444444444443,4.321760034205591,1.7679927412659246,0.75
linear_gaussian,0,77,0.75,0.6111111111111109,2.4444444444444438,3.8461843137206726,1.5734390374311846,0.75
linear_gaussian,0,78,0.75,0.6111111111111107,2.444444444444443,3.601981522733179,1.473537895663574,0.75
linear_gaussian,0,79,0.75,0.6111111111111107,2.444444444444443,0.8049287745385291,0.32928904412939847,1.0
linear_gaussian,0,80,0.75,0.6111111111111107,2.444444444444443,2.6922504773722262,1.1013751952886388,1.0
linear_gaussian,0,81,0.75,0.6111111111111105,2.444444444444442,5.009635460304604,2.049396324670067,0.75
linear_gaussian,0,82,0.75,0.6111111111111107,2.444444444444443,0.3810972063779018,0.15590340260914173,1.0
linear_gaussian,0,83,0.75,0.6111111111111112,2.4444444444444446,1.7233037455367906,0.7049878959014143,1.0
linear_gaussian,0,84,0.75,0.6111111111111105,2.444444444444442,4.4631425886206095,1.8258310589811604,1.0
linear_gaussian,0,85,0.75,0.6111111111111107,2.444444444444443,7.798870730894285,3.1904471171840276,0.5
linear_gaussian,0,86,0.75,0.6111111111111107,2.444444444444443,2.54501463449172,1.0411423504738861,1.0
linear_gaussian,0,87,0.75,0.6111111111111108,2.4444444444444433,1.0023205120505638,0.41004020947523084,1.0
linear_gaussian,0,88,0.75,0.611111111111111,2.444444444444444,3.138866170014494,1.2840816150059295,1.0
linear_gaussian,0,89,0.75,0.611111111111111,2.444444444444444,3.9822189339639684,1.6290895638943508,1.0
linear_gaussian,0,90,0.75,0.6111111111111107,2.444444444444443,2.5843457659852884,1.0572323588121642,1.0
linear_gaussian,0,91,0.75,0.611111111111111,2.444444444444444,2.1738821252540386,0.8893154148766522,1.0
linear_gaussian,0,92,0.75,0.6111111111111106,2.4444444444444424,1.3112438966765405,0.5364179577313125,1.0
linear_gaussian,0,93,0.75,0.6111111111111107,2.444444444444443,4.684923523169579,1.916559623114829,1.0
linear_gaussian,0,94,0.75,0.6111111111111106,2.4444444444444424,2.72012930426348,1.11278016992597,1.0
linear_gaussian,0,95,0.75,0.611111111111111,2.444444444444444,0.9956641524030662,0.4073171532557998,1.0
linear_gaussian,0,96,1.0,0.999999999999999,3.999999999999996,7.746681437226056,1.936670359306516,1.0
linear_gaussian,0,97,1.0,0.999999999999999,3.999999999999996,5.03874307913383,1.259685769783459,1.0
linear_gaussian,0,98,1.0,0.9999999999999993,3.9999999999999973,2.436931084387429,0.6092327710968577,1.0
linear_gaussian,0,99,1.0,0.9999999999999997,3.9999999999999987,3.489096117841017,0.8722740294602546,1.0
linear_gaussian,0,100,1.0,0.9999999999999993,3.9999999999999973,6.864559950553471,1.716139987638369,0.75
linear_gaussian,0,101,1.0,0.9999999999999999,3.9999999999999996,0.4703157804230936,0.11757894510577341,1.0
linear_gaussian,0,102,1.0,0.9999999999999993,3.9999999999999973,9.590665767447899,2.3976664418619764,0.75
linear_gaussian,0,103,1.0,1.0000000000000004,4.000000000000002,5.967698210847445,1.4919245527118605,0.75
linear_gaussian,0,104,1.0,0.999999999999999,3.999999999999996,4.278442954676461,1.0696107386691163,1.0
linear_gaussian,0,105,1.0,0.9999999999999994,3.999999999999998,4.2999725257568375,1.07499313143921,1.0
linear_gaussian,0,106,1.0,0.9999999999999996,3.9999999999999982,6.6557952279567925,1.6639488069891988,0.75
linear_gaussian,0,107,1.0,0.9999999999999993,3.9999999999999973,1.14120049179204,0.28530012294801016,1.0
linear_gaussian,0,108,1.0,1.0000000000000004,4.000000000000002,3.735479544469894,0.933869886117473,1.0
linear_gaussian,0,109,1.0,0.9999999999999997,3.9999999999999987,6.677852460069455,1.6694631150173644,0.75
linear_gaussian,0,110,1.0,1.0000000000000004,4.000000000000002,2.4373554062763625,0.6093388515690904,1.0
linear_gaussian,0,111,1.0,0.9999999999999997,3.9999999999999987,1.3033893167074282,0.32584732917685716,1.0
linear_gaussian,0,112,1.0,0.9999999999999999,3.9999999999999996,1.2320719093958623,0.30801797734896563,1.0
linear_gaussian,0,113,1.0,0.9999999999999993,3.9999999999999973,2.6105885336243704,0.652647133406093,1.0
